                      Gc 	                        j 	                    c_old 	                  soc_old 	                    c_dot 	                  soc_dot 	                    d_dot 
           4.210000000000 	          -0.300000000000 	           0.500000000000 	           0.500000000000 	           7.409167000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.507409167000 	           0.500600128000 	           3.954095000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.511363262000 	           0.501200256000 	           2.974950000000 	           0.600129000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.514338212000 	           0.501800385000 	           2.501118000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.516839330000 	           0.502400513000 	           2.208906000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.519048236000 	           0.503000641000 	           2.005671000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.521053907000 	           0.503600769000 	           1.853885000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.522907792000 	           0.504200897000 	           1.735013000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.524642805000 	           0.504801025000 	           1.638701000000 	           0.600129000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.526281506000 	           0.505401154000 	           1.558643000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.529330905000 	           0.506601410000 	           1.432259000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.534776396000 	           0.509001923000 	           1.259863000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.539631412000 	           0.511402435000 	           1.145409000000 	           0.600129000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.544081304000 	           0.513802948000 	           1.062595000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.550216761000 	           0.517403717000 	           0.972774000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.555881880000 	           0.521004486000 	           0.907875000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.561199611000 	           0.524605255000 	           0.858495000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.566249090000 	           0.528206024000 	           0.819596000000 	           0.600129000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.571085053000 	           0.531806793000 	           0.788197000000 	           0.600129000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.575747372000 	           0.535407562000 	           0.762401000000 	           0.600129000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.580266260000 	           0.539008332000 	           0.740937000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.584665307000 	           0.542609101000 	           0.722905000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.588963372000 	           0.546209870000 	           0.707647000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.593175796000 	           0.549810639000 	           0.694666000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.597315232000 	           0.553411408000 	           0.683578000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.601392240000 	           0.557012177000 	           0.674077000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.605415701000 	           0.560612946000 	           0.665917000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.609393137000 	           0.564213715000 	           0.658895000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.613330950000 	           0.567814484000 	           0.652846000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.617234616000 	           0.571415253000 	           0.647632000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.621108832000 	           0.575016022000 	           0.643131000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.624957628000 	           0.578616791000 	           0.639245000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.628784476000 	           0.582217560000 	           0.635890000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.632592371000 	           0.585818329000 	           0.632994000000 	           0.600129000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.636383906000 	           0.589419098000 	           0.630493000000 	           0.600129000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.640161317000 	           0.593019867000 	           0.628335000000 	           0.600129000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.643926542000 	           0.596620637000 	           0.626474000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.647681263000 	           0.600221406000 	           0.624870000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.651426933000 	           0.603822175000 	           0.623490000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.655164817000 	           0.607422944000 	           0.622303000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.658896009000 	           0.611023713000 	           0.621283000000 	           0.600128000000 	           0.000000000000 
           4.210000000000 	          -0.300000000000 	           0.662621461000 	           0.614624482000 	           0.620410000000 	           0.600128000000 	           0.000000000000 
